=== ALL 528 songs without artist ===
297. สุดฤทธิ์สุดเดช | singer: หญิง
298. ใจสมใจ | singer: หญิง
299. รอเป็นคนถัดไป | singer: หญิง
300. อย่าพูดเลย | singer: ชาย
301. ขี้หึง | singer: หญิง
302. just the two of us | singer: ชาย
303. ช้ำคือเรา | singer: หญิง
304. ผิดตั้งแต่เริ่ม | singer: ชาย
305. สาวน้อยกลับบ้าน | singer: หญิง
306. ลบไม่ได้ช่วยให้ลืม | singer: หญิง
307. ที่คั่นหนังสือ | singer: ชาย/หญิง
308. คำยินดี | singer: หญิง
309. ถ้าคิดถึงเธอมากกว่านี้ | singer: หญิง
310. ตายทั้งเป็น | singer: หญิง
311. Careless whisper | singer: ชาย
312. เส้นบางๆ | singer: หญิง
313. crazy in love | singer: หญิง
314. ไหนว่าจะไม่หลอกกัน | singer: หญิง
315. ทักครับ | singer: หญิง
316. Love on top | singer: ชาย
317. Have You Ever Seen The Rain | singer: ชาย
318. Because Of You | singer: หญิง
319. Oops! I Did It Again | singer: หญิง
320. I just wanna pen fan you dai bor | singer: ชาย
321. คืนนี้ขอหอม | singer: ชาย
322. Havana | singer: หญิง
323. เมาทุกขวด | singer: หญิง
324. วันที่ได้คำตอบ | singer: หญิง
325. ความจริง | singer: ชาย
326. ผู้ชายในฝัน  | singer: หญิง
327. เลือกได้ไหม | singer: หญิง
328. สักวันหนึ่ง | singer: หญิง
329. เจ็บนิดเดียว | singer: หญิง
330. มีเมียเด็ก | singer: ชาย
331. เพียงกระซิบ | singer: ชาย
332. ว่าว | singer: หญิง
333. ชาวนากับงูเห่า | singer: ชาย
334. ซักกะนิด | singer: หญิง
335. กล้ำกลืน | singer: หญิง
336. รบกวนมารักกัน | singer: หญิง
337. ครึ่งหนึ่งของชีวิต | singer: หญิง
338. ปาฏิหาริย์ | singer: ชาย
339. The one you love | singer: ชาย
340. โอ๊ะโอ๊ย | singer: หญิง
341. จำนน | singer: ชาย
342. จางหาย | singer: หญิง
343. I wanna dance | singer: หญิง
344. ซมซาน | singer: ชาย
345. รสหวาน | singer: ชาย
346. รอยยิ้ม | singer: ชาย
347. ถ่านไฟเก่า | singer: หญิง
348. Lose control | singer: ชาย
349. ทนได้ทุกที ตั้ม | singer: หญิง
350. แอบหวัง | singer: ชาย
351. Please | singer: ชาย
352. ซุปเปอร์สตาร์  | singer: ชาย
353. ถ่านไฟเก่า | singer: ชาย
354. Nothing's Gonna Change My Love For You | singer: ชาย
355. มันคงเป็นความรัก | singer: ชาย
356. ฤดูที่ฉันเหงา | singer: ชาย
357. เหงาๆ | singer: หญิง
358. Sir duke | singer: ชาย
359. ยิ่งกว่าเสียใจ | singer: หญิง
360. โรคประจำตัว | singer: ชาย
361. นิดหน่อย | singer: ชาย
362. ขอเป็นตัวเลือก | singer: ชาย
363. สาริกาลิ้นทอง | singer: ชาย
364. ปลิว | singer: หญิง
365. สาวขาเลาะ | singer: หญิง
366. อยากเริ่มต้นใหม่กับคนเดิม | singer: หญิง
367. เส้นบางๆ | singer: หญิง
368. Smoke | singer: หญิง
369. วอน | singer: หญิง
370. แพ้ทาง | singer: หญิง
371. Super stars | singer: ชาย/หญิง
372. ฟ้ารักพ่อ | singer: หญิง
373. จื่อบ่ | singer: หญิง
374. รักเธอหัวทิ่มบ่อ | singer: หญิง
375. สักวันฉันจะดีพอ | singer: หญิง
376. Sunflower | singer: ชาย
377. พยายามกี่ครั้งก็ตามแต่ | singer: ชาย
378. Don't it Make My Brown Eyes Blue | singer: หญิง
379. หวั่นไหว | singer: ชาย
380. เบา เบา | singer: หญิง
381. เยวียเหลียงไต้เปียววอเตอะซิน | singer: หญิง
382. คำเชยๆ | singer: ชาย
383. ผู้บ่าวเสื้อปุ๋ย | singer: หญิง
384. จังหวะจะรัก | singer: หญิง
385. Heartbreak Anniversary | singer: ชาย
386. นึกเสียว่าสงสาร | singer: หญิง
387. โลกทั้งใบ | singer: ชาย
388. ขวากหนาม | singer: ชาย
389. ฤดูร้อน | singer: หญิง
390. ประตูใจ | singer: หญิง
391. Set fire to the rain | singer: หญิง
392. We are the Champion | singer: ชาย
393. มอเตอร์ไซค์นุ่งสั้น | singer: หญิง
394. ไม่ต้องรู้ว่าเราคบกันแบบไหน | singer: ชาย/หญิง
395. ไทม์แมมชีน | singer: ชาย
396. ผู้ถูกเลือกให้ผิดหวัง | singer: ชาย/หญิง
397. นอกจากชื่อฉัน | singer: หญิง
398. นอกจากชื่อฉัน | singer: ชาย
399. อยากจะร้องดังๆ | singer: หญิง
400. ���ีบได้แฟนตายแล้ว | singer: หญิง
401. เด็กพี่มีชู้ | singer: ชาย
402. วันเกิดฉันปีนี้ | singer: ชาย
403. ฤดูร้อน | singer: ชาย
404. ไม่รักไม่ต้อง | singer: หญิง
405. คนที่ฆ่าฉัน | singer: ชาย
406. สกาวาไรตี้ | singer: ชาย
407. This love | singer: ชาย
408. สหายสุรา | singer: ชาย/หญิง
409. You belong with me | singer: หญิง
